Cbsafp;Classfp;Countyfp;Countyns;Csafp;Funcstat;Geoid;Geoidfq;Intptlat;Intptlon;Lsad;Metdivfp;Mtfcc;Name;Namelsad;Statefp;Aland;Awater;Geometry;Shape Area;Shape Leng
;H1;91;277310;;A;6091;0500000US06091;395.769.252;-1.205.219.926;6;;G4020;Sierra;Sierra County;6;2468694578;23299110;Polygon;0,261249352;3,064186555
40900;H1;67;277298;472;A;6067;0500000US06067;384.501.363;-1.213.443.291;6;;G4020;Sacramento;Sacramento County;6;2500063005;75323439;Polygon;0,265777468;3,266242119
42200;H1;83;277306;;A;6083;0500000US06083;345.366.774;-1.200.383.645;6;;G4020;Santa Barbara;Santa Barbara County;6;7080874935;2729198796;MultiPolygon;0,963362896;7,43918763
;H1;9;1675885;;A;6009;0500000US06009;381.910.682;-1.205.541.065;6;;G4020;Calaveras;Calaveras County;6;2641829627;43797225;Polygon;0,27623522;2,961850329
37100;H1;111;277320;348;A;6111;0500000US06111;343.587.477;-1.191.331.453;6;;G4020;Ventura;Ventura County;6;4767585000;947376202;MultiPolygon;0,560023936;4,313596507
31080;H1;37;277283;348;A;6037;0500000US06037;341.963.983;-1.182.618.616;6;31084;G4020;Los Angeles;Los Angeles County;6;10515988121;1785003256;MultiPolygon;1,203189197;7,28533359
42220;H1;97;1657246;;A;6097;0500000US06097;385.251.824;-1.229.261.095;6;;G4020;Sonoma;Sonoma County;6;4080103614;497291856;Polygon;0,472873608;4,056446963
25260;H1;31;277280;260;A;6031;0500000US06031;360.724.780;-1.198.155.301;6;;G4020;Kings;Kings County;6;3602601921;3164290;Polygon;0,360755755;2,879368441
41740;H1;73;277301;;A;6073;0500000US06073;330.236.041;-1.167.761.174;6;;G4020;San Diego;San Diego County;6;10905039592;816542690;Polygon;1,131316113;4,630122093
40900;H1;61;277295;472;A;6061;0500000US06061;390.620.323;-1.207.227.181;6;;G4020;Placer;Placer County;6;3644330331;246442517;Polygon;0,404936676;4,363180798
41860;H6;75;277302;488;C;6075;0500000US06075;377.272.391;-1.230.322.294;6;41884;G4020;San Francisco;San Francisco County;6;120951669;479702222;MultiPolygon;0,06141417;1,650255973
41860;H1;41;277285;488;A;6041;0500000US06041;380.513.667;-1.227.463.958;6;42034;G4020;Marin;Marin County;6;1347159145;797808345;Polygon;0,220179999;2,422524635
;H1;43;277286;;A;6043;0500000US06043;375.743.432;-1.199.117.215;6;;G4020;Mariposa;Mariposa County;6;3752476985;36220865;Polygon;0,386463986;3,445664574
45000;H1;35;1693324;;A;6035;0500000US06035;407.152.866;-1.206.212.225;6;;G4020;Lassen;Lassen County;6;11762090640;462950977;Polygon;1,302087656;5,973932081
34900;H1;55;277292;488;A;6055;0500000US06055;385.070.999;-1.223.259.045;6;;G4020;Napa;Napa County;6;1947606499;104444597;Polygon;0,211936284;2,937320417
39820;H1;89;1682610;454;A;6089;0500000US06089;407.605.142;-1.220.435.558;6;;G4020;Shasta;Shasta County;6;9778891285;185818272;Polygon;1,062748165;5,709510703
41500;H1;53;277291;;A;6053;0500000US06053;362.401.044;-1.213.155.781;6;;G4020;Monterey;Monterey County;6;8499609695;1267806850;Polygon;0,979252483;6,096582389
