OBJECTID,CountyName,AdminRegion,FireMAR,LawMAR,State_FIPS_ID,County_FIPS_ID,Shape__Area,Shape__Length
1,Alameda,Coastal,2,2,06,001,3082164727.27734,432059.180712266
2,Alpine,Inland,4,4,06,003,3145871319.53516,274621.12105978
3,Amador,Inland,4,4,06,005,2559997716.17188,357482.565247119
4,Butte,Inland,3,3,06,007,7338660131.55859,526729.272631437
5,Calaveras,Inland,4,4,06,009,4352159522.60156,371781.055547544
6,Colusa,Inland,3,3,06,011,4989965919.80078,383519.559146326
7,Contra Costa,Coastal,2,2,06,013,3094108657.625,408935.632993012
8,Del Norte,Coastal,2,2,06,015,4729170703.44922,382180.368497001
9,El Dorado,Inland,4,4,06,017,7639219635.03516,466654.488487105
10,Fresno,Inland,5,5,06,019,24329637642.9258,1093884.40195084
11,Glenn,Inland,3,3,06,021,5795832625.13281,396924.741107058
12,Humboldt,Coastal,2,2,06,023,16165866796.8359,756496.574593602
13,Imperial,Southern,6,6,06,025,16565001872.5352,593759.567298524
14,Inyo,Southern,6,6,06,027,41101680950.6758,1060549.26227246
15,Kern,Inland,5,5,06,029,31805177974.5859,850410.414528135
16,Kings,Inland,5,5,06,031,5529078540.05469,354360.698571962
17,Lake,Coastal,2,2,06,033,5730854287.86328,463245.153459144
18,Lassen,Inland,3,3,06,035,21266798949.6289,776448.374414908
19,Los Angeles,Southern,1,1,06,037,15562055939.4453,949056.873804564
20,Madera,Inland,5,5,06,039,8811141851.90625,600614.053676466
21,Marin,Coastal,2,2,06,041,2202088192.125,506963.399401764
22,Mariposa,Inland,5,5,06,043,6035147379.41797,429725.167817948
23,Mendocino,Coastal,2,2,06,045,15278682015.1641,752839.919936137
24,Merced,Inland,5,5,06,047,8057255808.29297,426882.428317003
25,Modoc,Inland,3,3,06,049,19478301183.3594,565966.368092925
26,Mono,Southern,6,6,06,051,13066825529.7188,698782.61595068
27,Monterey,Coastal,2,2,06,053,13209624758.3789,767537.875645151
28,Napa,Coastal,2,2,06,055,3340057644.71484,373381.573776962
29,Nevada,Inland,4,4,06,057,4217253597.15625,431406.174243654
30,Orange,Southern,1,1,06,059,2998658580.5,258253.658627703
31,Placer,Inland,4,4,06,061,6453984225.74609,534901.668538908
32,Plumas,Inland,3,3,06,063,11556703188.5469,654231.042476735
33,Riverside,Southern,6,6,06,065,27417874741.1211,907833.753925109
34,Sacramento,Inland,4,4,06,067,4149831408.63672,409262.771553973
35,San Benito,Coastal,2,2,06,069,5596390587.33203,452151.067844261
36,San Bernardino,Southern,6,6,06,071,77493811786.293,1246890.56665569
37,San Diego,Southern,6,6,06,073,15661539108.1563,740895.337015189
38,San Francisco,Coastal,2,2,06,075,197155453.332031,134639.550692985
39,San Joaquin,Inland,4,4,06,077,5941162267.82813,410718.322226525
40,San Luis Obispo,Southern,1,1A,06,079,12966822986.3633,767149.045353666
41,San Mateo,Coastal,2,2,06,081,1874693482.15625,312496.310712057
42,Santa Barbara,Southern,1,1A,06,083,10552011522.9063,825531.843124045
43,Santa Clara,Coastal,2,2,06,085,5326236808.35547,424960.523514449
44,Santa Cruz,Coastal,2,2,06,087,1818365879.46484,285089.504107647
45,Shasta,Inland,3,3,06,089,17385892003.3633,704915.866791707
46,Sierra,Inland,3,3,06,091,4199653587.14453,372483.508026592
47,Siskiyou,Inland,3,3,06,093,29436435228.9297,899086.423989645
48,Solano,Coastal,2,2,06,095,3547864220.08594,446696.481995468
49,Sonoma,Coastal,2,2,06,097,6728803685.07813,499739.981785629
50,Stanislaus,Inland,4,4,06,099,6255288582.03516,471873.173679166
51,Sutter,Inland,3,3,06,101,2615926112.62109,354094.001042608
52,Tehama,Inland,3,3,06,103,13130962045.4063,619748.599019804
53,Trinity,Inland,3,3,06,105,14451716739.8867,806709.768708414
54,Tulare,Inland,5,5,06,107,19305183028.1328,648995.873854277
55,Tuolumne,Inland,4,4,06,109,9522704518.65625,637046.082744868
56,Ventura,Southern,1,1A,06,111,7125912319.42188,477805.316092939
57,Yolo,Inland,4,4,06,113,4349584387.69922,418928.090467787
58,Yuba,Inland,3,3,06,115,2786264183.94141,364828.158326106
59,Tulare,Inland,5,5,06,107,19305183028.2422,648995.873854321
60,Siskiyou,Inland,3,3,06,093,29436435229.0117,899086.423989706
